Hour,Humidity,Precipitation,Cloud Cover
00,89.71428571428571,2.92,99.57142857142857
01,90.28571428571429,3.9399999999999995,96.0
02,90.85714285714286,2.84,88.0
03,92.0,4.71,91.85714285714286
04,92.28571428571429,5.659999999999999,86.42857142857143
05,91.28571428571429,2.7800000000000002,85.71428571428571
06,91.42857142857143,2.81,89.14285714285714
07,90.85714285714286,1.4,87.71428571428571
08,90.28571428571429,1.71,85.14285714285714
09,89.85714285714286,2.1700000000000004,82.57142857142857
10,87.0,1.34,86.57142857142857
11,84.57142857142857,1.0899999999999999,82.57142857142857
12,82.14285714285714,0.89,75.42857142857143
13,81.14285714285714,0.9,78.85714285714286
14,80.28571428571429,0.89,78.57142857142857
15,80.85714285714286,0.8900000000000001,79.28571428571429
16,81.85714285714286,0.73,84.0
17,85.14285714285714,0.64,70.42857142857143
18,88.0,0.73,71.85714285714286
19,88.57142857142857,0.37,82.85714285714286
20,88.28571428571429,0.55,86.71428571428571
21,89.14285714285714,1.05,89.57142857142857
22,88.28571428571429,0.63,87.14285714285714
23,89.14285714285714,1.7000000000000002,91.42857142857143
